Date, Time, Application,Environment,Release,Publish Type,App Job Name, App Job Build Number,Spinner Job Name, Spinner Job Build Number,App Job Duration,Spinner Job Duration,Total Execution
5/27/2016,13:03:04,ENERGYPLM,QA2,,all,PLM-ENERGYPLM-APP,123,PLM-ENERGYPLM-DB,83,,,
5/30/2016,7:50:23,WINDPLM,QA,,db,PLM-WINDPLM-APP,192,PLM-WINDPLM-DB,171,,,
5/31/2016,2:27:18,ENERGYPLM,QA2,,db,PLM-ENERGYPLM-APP,124,PLM-ENERGYPLM-DB,84,,,
5/31/2016,6:00:57,ENERGYPLM,QA1,,app,PLM-ENERGYPLM-APP,125,PLM-ENERGYPLM-DB,84,,,
6/3/2016,15:29:33,ENERGYPLM,QA2,,db,PLM-ENERGYPLM-APP,135,PLM-ENERGYPLM-DB,93,,,
6/6/2016,5:12:50,WINDPLM,DEV4,,all,PLM-WINDPLM-APP,195,PLM-WINDPLM-DB,174,,,
6/6/2016,5:57:54,ENERGYPLM,QA1,,all,PLM-ENERGYPLM-APP,136,PLM-ENERGYPLM-DB,94,,,
6/6/2016,6:00:19,WINDPLM,QA,,all,PLM-WINDPLM-APP,196,PLM-WINDPLM-DB,175,,,
6/6/2016,8:58:45,WINDPLM,DEV,,all,PLM-WINDPLM-APP,198,PLM-WINDPLM-DB,176,,,
6/6/2016,9:20:43,WINDPLM,DEV3,,all,PLM-WINDPLM-APP,199,PLM-WINDPLM-DB,177,,,
6/6/2016,10:22:03,WINDPLM,QA,,all,PLM-WINDPLM-APP,200,PLM-WINDPLM-DB,178,,,
6/6/2016,12:11:01,WINDPLM,DEV,,db,PLM-WINDPLM-APP,201,PLM-WINDPLM-DB,179,,,
6/6/2016,17:26:07,ENERGYPLM,QA1,,db,PLM-ENERGYPLM-APP,137,PLM-ENERGYPLM-DB,95,,,
6/6/2016,23:55:26,WINDPLM,DEV3,,all,PLM-WINDPLM-APP,202,PLM-WINDPLM-DB,180,,,
6/7/2016,6:08:46,ENERGYPLM,QA1,,app,PLM-ENERGYPLM-APP,138,PLM-ENERGYPLM-DB,95,,,
6/7/2016,6:26:09,ENERGYPLM,QA1,,db,PLM-ENERGYPLM-APP,139,PLM-ENERGYPLM-DB,96,,,
6/7/2016,6:48:14,ENERGYPLM,DEV2,,db,PLM-ENERGYPLM-APP,140,PLM-ENERGYPLM-DB,97,,,
6/7/2016,7:10:29,ENERGYPLM,DEV2,,db,PLM-ENERGYPLM-APP,141,PLM-ENERGYPLM-DB,98,,,
6/7/2016,7:43:44,ENERGYPLM,DEV2,,db,PLM-ENERGYPLM-APP,142,PLM-ENERGYPLM-DB,99,,,
6/7/2016,8:09:56,WINDPLM,DEV,,db,PLM-WINDPLM-APP,203,PLM-WINDPLM-DB,181,,,
6/7/2016,8:36:26,ENERGYPLM,DEV2,,db,PLM-ENERGYPLM-APP,143,PLM-ENERGYPLM-DB,100,,,
6/7/2016,8:43:30,WINDPLM,DEV,,db,PLM-WINDPLM-APP,204,PLM-WINDPLM-DB,182,,,
6/7/2016,9:12:01,WINDPLM,DEV3,,all,PLM-WINDPLM-APP,205,PLM-WINDPLM-DB,183,,,
6/7/2016,9:28:32,ENERGYPLM,DEV1,,db,PLM-ENERGYPLM-APP,145,PLM-ENERGYPLM-DB,101,,,
6/7/2016,9:40:35,WINDPLM,QA,,db,PLM-WINDPLM-APP,206,PLM-WINDPLM-DB,184,,,
6/7/2016,10:00:31,ENERGYPLM,QA1,,db,PLM-ENERGYPLM-APP,146,PLM-ENERGYPLM-DB,102,,,
6/7/2016,10:15:46,ENERGYPLM,DEV1,,all,PLM-ENERGYPLM-APP,147,PLM-ENERGYPLM-DB,103,,,
6/7/2016,10:28:11,WINDPLM,DEV4,,db,PLM-WINDPLM-APP,207,PLM-WINDPLM-DB,185,,,
6/7/2016,22:23:42,ENERGYPLM,QA1,,db,PLM-ENERGYPLM-APP,148,PLM-ENERGYPLM-DB,104,,,
6/8/2016,3:27:47,WINDPLM,DEV4,,db,PLM-WINDPLM-APP,208,PLM-WINDPLM-DB,186,,,
6/8/2016,6:45:42,ENERGYPLM,QA1,,all,PLM-ENERGYPLM-APP,149,PLM-ENERGYPLM-DB,105,,,
6/8/2016,6:51:24,WINDPLM,DEV4,,all,PLM-WINDPLM-APP,209,PLM-WINDPLM-DB,187,,,
6/8/2016,6:51:56,ENERGYPLM,QA1,,db,PLM-ENERGYPLM-APP,150,PLM-ENERGYPLM-DB,106,,,
6/8/2016,7:08:30,WINDPLM,QA2,,all,PLM-WINDPLM-APP,210,PLM-WINDPLM-DB,188,,,
6/8/2016,8:06:03,WINDPLM,DEV,,db,PLM-WINDPLM-APP,211,PLM-WINDPLM-DB,189,,,
6/8/2016,8:16:02,WINDPLM,QA,,all,PLM-WINDPLM-APP,212,PLM-WINDPLM-DB,190,,,
6/8/2016,10:25:48,ENERGYPLM,QA2,,all,PLM-ENERGYPLM-APP,151,PLM-ENERGYPLM-DB,107,,,
6/8/2016,12:08:40,WINDPLM,DEV,,all,PLM-WINDPLM-APP,213,PLM-WINDPLM-DB,191,,,
6/9/2016,10:23:56,ENERGYPLM,QA2,,db,PLM-ENERGYPLM-APP,157,PLM-ENERGYPLM-DB,112,11 mins 29 secs,1 mins 0 secs,12 mins 30 secs
6/9/2016,11:06:36,ENERGYPLM,QA2,,db,PLM-ENERGYPLM-APP,158,PLM-ENERGYPLM-DB,113,4 mins 17 secs,0 mins 45 secs,5 mins 2 secs
6/9/2016,14:03:44,WINDPLM,DEV4,,app,PLM-WINDPLM-APP,221,PLM-WINDPLM-DB,198,11 mins 58 secs,,11 mins 58 secs
6/10/2016,3:26:51,AEROPLM,DEV2,,all,PLM-AEROPLM-APP,168,PLM-AEROPLM-DB,180,29 mins 54 secs,0 mins 57 secs,30 mins 51 secs
6/10/2016,4:48:26,WINDPLM,QA,,db,PLM-WINDPLM-APP,222,PLM-WINDPLM-DB,199,10 mins 1 secs,1 mins 6 secs,11 mins 8 secs
6/10/2016,4:56:44,WINDPLM,DEV,,db,PLM-WINDPLM-APP,223,PLM-WINDPLM-DB,200,8 mins 30 secs,0 mins 59 secs,9 mins 30 secs
6/10/2016,7:39:33,ENERGYPLM,QA1,,db,PLM-ENERGYPLM-APP,159,PLM-ENERGYPLM-DB,114,12 mins 15 secs,1 mins 5 secs,13 mins 21 secs
6/10/2016,8:55:20,AEROPLM,DEV2,,all,PLM-AEROPLM-APP,169,PLM-AEROPLM-DB,181,5 mins 25 secs,0 mins 51 secs,6 mins 17 secs
6/10/2016,9:30:34,ENERGYPLM,QA2,,db,PLM-ENERGYPLM-APP,160,PLM-ENERGYPLM-DB,115,12 mins 16 secs,1 mins 4 secs,13 mins 21 secs
6/10/2016,9:37:59,ENERGYPLM,QA2,,db,PLM-ENERGYPLM-APP,161,PLM-ENERGYPLM-DB,116,4 mins 16 secs,0 mins 55 secs,5 mins 12 secs
6/10/2016,11:49:35,AEROPLM,DEV2,,db,PLM-AEROPLM-APP,170,PLM-AEROPLM-DB,182,2 mins 50 secs,0 mins 48 secs,3 mins 38 secs
6/10/2016,14:05:49,WINDPLM,DEV4,,all,PLM-WINDPLM-APP,224,PLM-WINDPLM-DB,201,10 mins 58 secs,0 mins 32 secs,11 mins 30 secs
6/11/2016,6:48:08,WINDPLM,DEV4,,db,PLM-WINDPLM-APP,225,PLM-WINDPLM-DB,202,2 mins 58 secs,0 mins 31 secs,3 mins 29 secs
